Date,time0_1,time1_2,time2_3,time3_4,time4_5,time5_6,time6_7,time7_8,time8_9,time9_10,time10_11,time11_12,time12_13,time13_14,time14_15,time14_16
,05:00～05:59,08:00～08:59,09:00～09:59,10:00～10:59,11:00～11:59,12:00～12:59,13:00～13:59,14:00～14:59,15:00～15:59,16:00～16:59,17:00～17:59,18:00～18:59,19:00～19:59,20:00～20:59,21:00～21:59,22:00～22:59
2017/12/1,0,24,42,52,58,84,62,66,48,68,76,90,76,72,8,0
2017/12/2,0,28,44,72,100,126,96,100,110,94,90,82,78,46,20,4
2017/12/3,0,14,46,64,100,92,98,112,122,136,90,64,54,42,10,0
2017/12/4,0,18,46,52,66,70,78,76,70,48,62,84,72,38,30,0
2017/12/5,0,16,56,64,64,80,58,72,60,68,66,60,78,40,8,0
2017/12/6,0,22,44,44,76,96,82,80,78,70,82,92,66,56,0,0
2017/12/7,0,16,42,44,58,82,66,58,62,76,70,80,62,42,8,0
2017/12/8,0,24,32,42,70,96,84,56,68,64,60,48,42,28,6,0
2017/12/9,0,32,38,62,120,84,90,142,108,114,96,92,54,46,46,2
2017/12/10,0,32,58,60,90,90,106,108,148,116,74,70,74,40,14,0
2017/12/11,0,12,26,54,58,64,50,50,90,74,66,62,76,42,10,0
2017/12/12,0,16,32,52,86,62,50,30,72,52,80,70,84,68,12,0
2017/12/13,0,16,26,56,74,78,82,68,66,80,54,72,56,38,8,0
2017/12/14,0,22,42,28,54,84,42,60,70,52,74,76,56,60,22,0
2017/12/15,0,20,38,42,64,72,72,54,76,70,74,62,68,70,46,0
2017/12/16,0,26,62,72,98,114,90,100,92,92,100,84,76,46,14,4
2017/12/17,0,22,62,62,90,94,116,110,96,108,106,60,62,32,10,0
2017/12/18,0,32,26,50,52,82,62,76,58,48,66,56,92,62,44,0
2017/12/19,0,20,50,46,68,68,78,50,60,88,54,54,64,46,0,0
2017/12/20,0,22,42,30,96,100,60,42,76,72,54,72,58,48,10,0
2017/12/21,0,22,32,54,58,52,62,62,48,80,56,48,70,64,14,0
2017/12/22,0,18,42,56,78,78,76,74,84,74,78,88,62,64,22,0
2017/12/23,0,42,46,64,110,118,128,112,112,152,116,62,54,48,14,0
2017/12/24,0,26,58,88,80,110,112,130,150,156,106,68,52,50,10,0
2017/12/25,0,24,24,42,74,62,68,62,74,60,88,76,70,56,14,0
2017/12/26,0,20,42,60,86,62,58,40,68,52,62,68,78,42,8,0
2017/12/27,0,24,36,50,50,70,78,72,56,62,54,62,64,44,24,2
2017/12/28,0,26,38,50,52,76,60,92,76,86,48,58,74,32,0,0
2017/12/29,0,16,40,50,82,96,96,92,74,84,66,70,48,22,4,0
2017/12/30,0,14,32,70,102,92,88,82,104,102,84,62,46,36,18,0
2017/12/31,0,18,28,54,78,96,76,78,94,90,64,0,0,0,0,0
2018/1/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/1/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/1/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/1/4,0,16,28,64,74,98,74,68,122,102,22,0,0,0,0,0
2018/1/5,0,28,24,54,94,96,100,102,58,88,72,50,68,64,12,0
2018/1/6,0,24,38,54,74,88,104,94,76,102,106,52,70,44,22,0
2018/1/7,0,4,40,44,66,64,74,108,110,104,116,72,60,40,6,0
2018/1/8,0,8,36,66,70,98,80,80,88,58,64,48,54,28,2,0
2018/1/9,0,24,30,40,74,104,60,54,60,74,72,78,52,50,10,0
2018/1/10,0,22,34,44,84,84,56,66,76,70,52,68,42,62,8,0
2018/1/11,0,28,28,30,50,76,44,66,80,54,72,46,60,50,18,0
2018/1/12,0,26,38,40,50,86,92,40,64,62,72,80,66,54,22,0
2018/1/13,0,24,34,64,118,104,102,92,96,118,118,78,70,50,14,0
2018/1/14,0,18,38,44,78,74,116,102,122,130,110,84,68,24,4,0
2018/1/15,0,22,30,48,56,80,86,74,68,82,68,62,76,28,2,0
2018/1/16,0,24,28,36,62,68,64,64,82,68,86,78,54,46,22,0
2018/1/17,0,28,38,38,72,98,58,68,50,42,36,34,50,44,0,0
2018/1/18,0,20,44,24,80,62,68,84,58,76,72,54,70,48,22,0
2018/1/19,0,8,30,44,66,76,80,70,72,54,78,66,82,62,14,0
2018/1/20,0,22,40,70,134,136,92,120,104,130,122,94,60,34,4,0
2018/1/21,0,18,60,78,106,140,126,120,112,134,96,82,52,10,4,0
2018/1/22,0,20,28,38,48,80,46,32,58,78,40,50,16,0,0,0
2018/1/23,0,22,26,36,60,54,64,50,88,58,60,80,52,48,4,0
2018/1/24,0,10,22,52,76,82,48,60,94,88,50,66,60,52,10,0
2018/1/25,0,28,36,42,32,72,56,66,94,60,76,78,78,52,12,0
2018/1/26,0,18,32,42,72,76,70,72,54,88,78,86,70,66,12,0
2018/1/27,0,24,44,62,96,118,110,110,118,114,122,76,66,42,0,0
2018/1/28,0,26,44,68,76,102,112,132,124,128,86,60,40,34,8,0
2018/1/29,0,18,48,44,74,74,72,84,72,62,84,62,70,44,12,0
2018/1/30,0,22,46,68,54,86,64,60,80,80,52,76,52,52,14,0
2018/1/31,0,16,36,56,80,86,50,68,92,72,80,98,76,32,12,0
2018/2/1,0,18,30,48,72,74,52,24,30,44,38,48,62,60,0,0
2018/2/2,0,24,36,46,60,56,46,56,66,58,74,80,80,36,2,0
2018/2/3,0,20,66,74,98,116,104,88,146,124,124,74,60,50,20,0
2018/2/4,0,16,42,82,102,104,108,122,126,128,112,80,56,40,14,0
2018/2/5,0,14,26,34,88,76,72,62,68,60,64,60,48,54,18,0
2018/2/6,0,26,44,72,74,110,70,64,94,48,68,74,62,40,22,0
2018/2/7,0,24,36,50,58,80,66,50,74,78,80,64,48,66,0,0
2018/2/8,0,26,56,38,62,78,56,52,68,78,64,100,58,64,18,0
2018/2/9,0,12,36,52,56,88,78,72,66,82,94,90,64,50,16,0
2018/2/10,0,20,38,72,98,112,108,100,92,92,90,88,58,64,18,0
2018/2/11,0,24,54,60,88,80,98,132,90,132,70,72,46,24,10,0
2018/2/12,0,24,46,56,86,102,110,100,124,110,118,82,56,34,8,0
2018/2/13,0,12,48,50,56,78,54,76,68,74,66,80,54,42,8,0
2018/2/14,0,8,38,70,68,68,84,92,54,86,78,60,58,54,10,0
2018/2/15,0,10,26,32,66,72,66,54,58,66,58,64,52,50,12,0
2018/2/16,0,16,34,60,46,68,72,44,58,66,60,78,84,66,12,0
2018/2/17,0,20,42,60,104,118,86,64,98,124,102,108,78,50,20,0
2018/2/18,0,20,38,80,104,110,148,154,146,162,88,78,54,32,2,0
2018/2/19,0,14,34,30,68,64,82,76,70,82,100,74,66,48,2,0
2018/2/20,0,20,60,50,56,84,90,80,82,68,76,70,78,40,18,0
2018/2/21,0,14,46,40,94,80,80,72,54,86,80,80,58,54,0,0
2018/2/22,0,16,32,36,76,74,56,36,58,60,58,54,48,72,8,0
2018/2/23,0,20,50,46,64,102,76,72,68,76,96,96,96,74,22,0
2018/2/24,0,18,52,68,106,124,130,106,128,132,120,86,72,46,2,0
2018/2/25,0,12,40,60,106,92,120,144,134,148,102,46,42,38,6,0
2018/2/26,0,10,54,52,56,56,58,98,72,86,88,82,48,46,8,0
2018/2/27,0,18,34,42,72,88,74,74,82,82,92,70,82,44,0,0
2018/2/28,0,20,32,50,76,64,64,84,46,82,86,84,46,48,10,0
2018/3/1,0,22,44,38,70,62,74,66,64,74,74,38,56,56,34,0
2018/3/2,0,24,64,52,60,92,100,44,70,84,82,94,52,48,0,0
2018/3/3,0,22,46,110,110,88,88,114,112,106,106,92,50,24,0,0
2018/3/4,0,20,46,64,110,92,96,170,140,126,108,88,42,42,4,0
2018/3/5,0,24,50,60,52,54,72,42,40,52,42,56,54,60,6,0
2018/3/6,0,14,62,38,74,94,78,52,88,64,108,66,56,42,0,0
2018/3/7,0,20,40,66,86,90,76,46,82,74,76,76,58,52,2,0
2018/3/8,0,14,28,32,46,54,52,26,46,48,66,42,68,40,12,0
2018/3/9,0,34,22,42,56,64,58,60,68,106,86,68,64,44,0,0
2018/3/10,0,30,72,76,120,120,110,114,106,140,106,88,84,36,8,0
2018/3/11,0,16,42,50,86,98,132,108,122,126,130,80,48,36,16,0
2018/3/12,0,16,46,54,66,102,76,70,58,72,82,78,82,22,10,0
2018/3/13,0,14,56,42,88,58,56,62,80,64,94,80,58,64,2,0
2018/3/14,0,24,44,54,98,86,84,68,62,60,68,86,52,56,4,0
2018/3/15,0,20,28,40,72,86,60,46,68,68,80,60,54,36,14,0
2018/3/16,0,20,40,54,68,70,60,44,52,56,72,60,54,48,20,0
2018/3/17,0,18,52,72,98,116,110,98,118,130,120,88,58,42,0,0
2018/3/18,0,34,42,70,82,86,98,112,128,138,106,88,50,42,30,4
2018/3/19,0,20,42,64,64,84,60,72,74,70,70,82,66,32,14,0
2018/3/20,0,18,32,32,48,64,28,48,64,80,90,72,60,36,24,0
2018/3/21,0,14,26,48,58,68,54,44,84,62,56,44,26,26,0,0
2018/3/22,0,18,32,52,82,80,78,64,86,70,76,68,74,44,20,0
2018/3/23,0,32,64,66,106,108,82,104,120,86,92,96,74,46,28,0
2018/3/24,0,32,64,66,106,108,82,104,120,86,92,96,74,46,28,0
2018/3/25,0,20,28,64,54,102,118,132,138,122,96,72,52,32,16,0
2018/3/26,0,12,44,70,70,94,46,64,48,64,92,84,76,54,20,0
2018/3/27,0,20,30,44,94,106,84,60,70,88,84,70,68,36,0,0
2018/3/28,0,26,18,58,78,86,50,46,76,76,86,54,42,40,32,0
2018/3/29,0,24,40,52,86,62,50,64,30,66,54,54,60,40,50,4
2018/3/30,0,26,38,62,58,76,78,74,64,86,86,80,80,48,26,0
2018/3/31,0,28,60,58,106,114,98,62,98,100,116,98,82,58,30,4
2018/4/1,0,22,38,68,102,106,72,114,100,136,116,92,42,46,18,0
2018/4/2,0,20,22,42,74,76,88,76,40,74,86,70,68,52,24,0
2018/4/3,0,20,48,74,80,94,50,48,44,80,74,88,54,26,10,0
2018/4/4,0,18,32,58,84,96,78,44,50,72,84,72,62,40,20,0
2018/4/5,0,20,42,32,72,102,74,50,66,74,76,54,60,42,22,0
2018/4/6,0,24,38,58,66,62,74,72,64,50,70,58,84,46,20,0
2018/4/7,0,18,48,96,108,122,94,90,96,84,106,106,66,54,28,0
2018/4/8,0,22,52,94,110,112,96,110,128,146,104,98,64,20,10,0
2018/4/9,0,14,46,72,80,96,90,50,64,80,106,86,70,34,10,0
2018/4/10,0,16,32,46,66,104,84,70,58,78,98,76,64,60,24,0
2018/4/11,0,24,46,68,66,80,70,52,60,98,80,82,58,54,50,0
2018/4/12,0,16,38,52,76,96,64,44,68,54,82,72,78,58,32,0
2018/4/13,0,24,28,34,92,92,80,44,84,60,98,80,56,70,42,0
2018/4/14,0,26,80,80,90,114,112,108,92,108,98,100,58,46,28,0
2018/4/15,0,16,28,64,64,88,100,126,116,134,118,60,56,24,10,0
2018/4/16,0,16,42,64,98,80,60,80,78,90,74,104,42,26,6,0
2018/4/17,0,16,46,48,76,92,92,58,50,74,50,76,50,44,18,0
2018/4/18,0,22,36,44,42,58,62,52,60,84,90,88,44,40,52,8
2018/4/19,0,20,46,42,68,70,68,48,48,64,82,62,64,64,46,0
2018/4/20,0,20,38,48,68,78,66,62,76,58,88,88,68,66,20,0
2018/4/21,0,40,64,108,128,130,134,108,114,130,136,122,118,74,78,58
2018/4/22,0,46,60,68,120,126,122,112,116,136,112,102,90,60,34,0
2018/4/23,0,20,50,36,82,96,64,78,68,82,68,90,66,72,42,0
2018/4/24,0,20,32,54,84,84,68,84,72,60,62,86,62,24,12,0
2018/4/25,0,18,18,32,44,62,56,68,84,68,88,70,68,64,24,0
2018/4/26,0,24,40,40,84,104,64,54,70,96,100,78,36,44,28,0
2018/4/27,0,14,54,56,50,84,84,70,76,66,84,98,78,60,18,0
2018/4/28,0,40,48,74,96,92,94,100,94,78,102,78,78,64,36,0
2018/4/29,0,16,56,68,100,100,102,102,108,116,138,96,66,36,34,0
2018/4/30,0,32,48,68,88,88,110,98,122,110,94,74,44,28,10,0
2018/5/1,0,36,14,6,14,94,80,48,72,86,106,84,68,40,10,0
2018/5/2,0,20,58,56,108,110,88,62,62,70,70,60,54,38,0,0
2018/5/3,0,6,46,60,76,94,88,74,80,106,94,82,50,34,16,0
2018/5/4,0,28,32,42,88,98,102,92,84,122,76,66,50,46,38,0
2018/5/5,0,16,44,68,94,114,112,80,110,106,104,64,60,48,26,0
2018/5/6,0,34,46,74,86,94,78,112,100,118,106,72,42,46,4,0
2018/5/7,0,16,54,82,30,88,82,48,40,54,42,42,62,56,28,0
2018/5/8,0,14,48,44,76,52,48,82,72,64,60,58,38,36,26,0
2018/5/9,0,24,36,46,54,64,72,110,76,96,58,88,62,20,0,0
2018/5/10,0,18,68,34,48,64,64,70,68,78,86,88,76,88,10,0
2018/5/11,0,30,40,60,78,104,98,72,60,80,98,92,76,36,0,0
2018/5/12,0,14,66,68,88,124,124,86,92,106,120,104,58,62,24,0
2018/5/13,0,20,34,78,94,108,116,88,54,74,68,42,22,20,2,0
2018/5/14,0,20,50,44,68,74,62,44,58,68,80,74,60,52,26,0
2018/5/15,0,26,50,42,52,76,60,54,68,58,78,82,48,62,32,0
2018/5/16,0,20,32,40,50,70,62,54,40,58,72,82,58,64,28,0
2018/5/17,0,18,48,52,66,64,60,36,48,94,70,70,58,42,32,0
2018/5/18,0,16,24,48,60,84,72,62,54,76,76,84,44,42,14,0
2018/5/19,0,32,58,46,108,100,96,112,92,110,102,90,62,52,8,0
2018/5/20,0,32,72,86,82,128,124,130,130,134,78,70,50,32,6,0
2018/5/21,0,14,36,52,84,64,54,42,44,64,94,70,78,46,24,0
2018/5/22,0,16,48,56,76,96,50,64,66,82,78,82,46,42,14,0
2018/5/23,0,16,44,80,84,66,52,66,68,60,64,48,54,34,14,0
2018/5/24,0,20,56,68,72,58,64,54,64,68,84,66,72,78,6,0
2018/5/25,0,20,34,46,48,76,60,50,66,68,84,80,78,68,10,0
2018/5/26,0,18,56,60,90,92,82,92,90,92,82,100,96,40,30,0
2018/5/27,0,26,54,58,94,96,94,96,128,102,104,54,66,56,18,0
2018/5/28,0,18,38,64,66,74,78,76,62,72,70,90,64,38,10,0
2018/5/29,0,18,60,48,74,76,62,66,66,64,72,72,48,66,26,0
2018/5/30,0,14,42,68,64,52,62,62,60,62,76,52,50,36,22,0
2018/5/31,0,20,44,40,76,72,58,62,48,72,68,80,48,52,20,0
2018/6/1,0,20,22,48,56,76,46,54,58,70,72,86,58,92,42,0
2018/6/2,0,26,60,74,80,76,90,82,78,68,86,98,72,42,44,0
2018/6/3,0,28,40,54,74,98,114,98,102,90,84,58,46,58,18,0
2018/6/4,0,10,40,54,58,60,66,50,52,66,68,76,72,76,22,0
2018/6/5,0,16,32,52,66,68,50,72,80,74,72,92,64,34,18,0
2018/6/6,0,16,32,20,48,66,78,52,54,50,44,58,42,28,14,0
2018/6/7,0,24,30,32,76,76,62,44,48,38,58,94,72,52,32,0
2018/6/8,0,20,46,54,48,80,62,62,66,66,80,66,74,28,28,0
2018/6/9,0,32,52,64,76,102,72,74,86,104,104,90,74,42,38,0
2018/6/10,0,22,74,60,80,62,80,84,68,78,42,48,40,40,6,0
2018/6/11,0,12,54,28,42,52,42,48,52,50,62,68,26,34,20,0
2018/6/12,0,14,52,42,58,90,62,52,66,68,68,66,44,46,16,0
2018/6/13,0,6,36,60,70,92,52,40,66,56,76,92,48,38,28,0
2018/6/14,0,16,34,40,66,82,58,72,52,78,68,80,44,38,22,0
2018/6/15,0,18,38,50,32,66,60,54,46,60,64,92,76,40,14,0
2018/6/16,0,24,68,82,80,112,110,114,106,140,120,108,64,48,2,0
2018/6/17,0,30,46,62,86,96,120,124,124,150,112,68,52,50,18,0
2018/6/18,0,10,32,48,56,60,44,54,52,54,84,54,52,48,10,0
2018/6/19,0,26,66,66,74,66,62,48,58,78,76,68,46,56,24,2
2018/6/20,0,26,34,30,56,44,54,52,60,60,52,72,58,36,0,0
2018/6/21,0,20,42,56,76,72,70,68,52,64,66,52,54,54,22,0
2018/6/22,0,16,38,44,62,70,90,52,62,70,66,104,66,48,26,0
2018/6/23,0,22,52,76,106,92,76,66,70,66,56,68,80,52,36,0
2018/6/24,0,18,34,54,54,92,102,118,110,114,100,68,56,46,24,0
2018/6/25,0,18,30,36,62,52,52,50,66,44,58,72,62,80,22,0
2018/6/26,0,20,36,42,64,58,46,32,44,60,64,70,78,52,32,0
2018/6/27,0,26,54,26,52,74,42,46,54,32,78,84,52,34,26,0
2018/6/28,0,16,24,34,46,62,48,50,50,48,68,62,48,38,22,0
2018/6/29,0,12,18,38,40,20,52,50,66,72,78,60,66,54,20,0
2018/6/30,0,36,48,56,58,74,64,68,60,70,100,54,58,44,42,0
2018/7/1,0,36,48,48,74,74,92,62,86,98,88,78,58,48,18,0
2018/7/2,0,12,40,24,56,36,40,38,44,44,48,72,58,30,38,0
2018/7/3,0,12,30,30,32,66,44,40,52,42,80,66,50,28,16,0
2018/7/4,0,6,28,28,56,68,62,46,50,58,80,84,58,52,16,0
2018/7/5,0,20,50,38,52,50,44,62,46,52,68,58,50,44,32,0
2018/7/6,0,20,42,34,48,56,56,36,52,74,68,68,44,52,22,0
2018/7/7,0,28,32,80,76,86,86,86,70,68,124,84,66,58,6,0
2018/7/8,0,20,42,60,74,70,78,98,94,98,88,82,40,46,28,0
2018/7/9,0,14,38,38,52,60,42,40,56,54,66,78,52,40,18,0
2018/7/10,0,18,54,32,64,70,50,32,52,46,78,66,58,42,12,0
2018/7/11,0,24,46,34,40,54,46,54,46,52,44,48,66,56,24,0
2018/7/12,0,4,42,56,58,50,62,50,52,72,70,56,60,46,16,0
2018/7/13,0,32,48,32,58,72,44,40,42,56,70,70,72,58,16,0
2018/7/14,0,30,56,74,54,72,82,62,66,62,84,76,54,44,36,0
2018/7/15,0,22,36,66,70,62,54,54,52,54,60,56,62,46,18,0
2018/7/16,0,26,38,52,76,66,52,62,56,66,68,54,34,50,16,0
2018/7/17,0,10,28,28,64,48,40,36,36,34,40,70,34,64,6,0
2018/7/18,0,10,38,50,58,64,44,48,22,24,64,50,48,48,6,0
2018/7/19,0,16,30,44,40,50,44,28,36,52,66,52,56,40,38,0
2018/7/20,0,10,32,32,62,70,40,42,28,32,52,60,58,58,24,0
2018/7/21,0,22,36,66,92,66,46,56,58,80,88,76,44,60,38,0
2018/7/22,0,32,32,50,58,70,66,56,70,68,62,52,60,18,10,0
2018/7/23,0,18,44,32,50,48,46,36,48,50,48,46,54,24,16,0
2018/7/24,0,8,22,22,46,78,40,42,36,62,50,54,44,50,20,0
2018/7/25,0,26,34,46,78,38,66,44,48,68,70,60,48,32,10,0
2018/7/26,0,22,30,36,72,66,62,46,32,54,64,48,34,28,22,0
2018/7/27,0,12,28,60,66,88,70,60,56,64,94,72,58,32,2,0
2018/7/28,0,26,54,70,88,82,78,50,58,40,30,34,30,26,0,0
2018/7/29,0,12,26,46,60,94,76,92,76,92,86,52,48,34,26,0
2018/7/30,0,14,42,36,56,58,50,42,42,58,74,96,66,38,2,0
2018/7/31,0,10,40,68,32,66,44,58,62,44,70,64,42,52,22,0
2018/8/1,0,18,16,46,44,52,34,36,24,46,56,58,48,54,28,4
2018/8/2,0,20,40,30,60,46,48,28,44,32,62,48,54,30,44,0
2018/8/3,0,28,20,56,44,70,46,42,46,52,34,64,78,26,28,0
2018/8/4,0,24,34,50,76,84,76,70,50,64,72,70,38,38,18,0
2018/8/5,0,18,40,68,66,80,62,56,58,68,74,42,56,34,0,0
2018/8/6,0,20,20,38,60,58,72,38,58,66,68,60,48,32,16,0
2018/8/7,0,16,50,38,54,70,58,52,58,72,68,82,48,32,0,0
2018/8/8,0,14,42,36,48,56,44,34,38,36,48,68,42,12,2,0
2018/8/9,0,24,32,26,70,78,60,54,44,48,64,52,76,24,16,0
2018/8/10,0,8,44,30,52,62,54,34,40,50,46,76,74,36,12,0
2018/8/11,0,26,46,56,60,56,54,72,36,46,62,48,28,60,10,0
2018/8/12,0,16,40,54,58,74,86,72,58,84,46,46,26,42,12,0
2018/8/13,0,12,28,34,76,54,36,36,12,38,38,52,44,44,22,0
2018/8/14,0,6,36,32,56,66,48,46,62,64,68,88,48,36,32,0
2018/8/15,0,22,44,46,38,54,52,32,44,52,76,64,48,40,8,0
2018/8/16,0,12,38,34,58,42,38,50,46,62,50,58,36,32,10,0
